Index,Alpha,Solver,Loss
0,103632.95215613676,1,0.6492345679012346
1,70941.90852821857,0,0.6298765432098765
2,638417342.0684106,2,0.8062716049382717
3,2202.0233081972515,5,0.5774485596707819
4,34.26305326360739,2,0.604164609053498
5,230769156.70902157,2,0.8062716049382717
6,113.09330054772366,5,0.60240329218107
7,50.10601837388874,3,0.6035555555555556
8,635112.7356597857,0,0.7859259259259259
9,1.1950666351597026,3,0.6044938271604938
10,9.135953801124026,0,0.6043621399176955
11,108921184.81508344,3,0.8062057613168725
12,1047403754.8291928,1,0.8062716049382717
13,785.567855388357,4,0.592477366255144
14,13365.330567858262,5,0.5666995884773662
15,357.3113312046321,5,0.5984526748971193
16,3775.9630432626473,4,0.5684938271604938
17,1907.4374814268544,5,0.5798847736625514
18,2711.769161767917,5,0.5733827160493827
19,5715.099764846359,3,0.5638518518518518
20,4099038.009537783,6,0.805843621399177
21,5931.4475091722,3,0.5636872427983539
22,1.0917354701616035,3,0.6044938271604938
23,1.8430906635387947,4,0.6045761316872428
24,1.659807693095115,4,0.6044938271604938
25,12768625.396238452,3,0.8063868312757202
26,1.4225580979343315,3,0.6046255144032922
27,2.049809268528323,3,0.6045267489711934
28,40608.87157013872,3,0.6038353909465021
29,1.1970301222753206,3,0.6046255144032922
30,29638.429448497525,3,0.591522633744856
31,26156.759209811644,6,0.5866995884773663
32,10940.307008372927,3,0.5639835390946502
33,7899408013.382742,3,0.806156378600823
34,749689.1090343575,3,0.7952921810699589
35,11233.28848605262,3,0.5646748971193416
36,312617.80344095844,1,0.7311769547325102
37,8257.449398962646,3,0.563522633744856
38,6937.31708312036,3,0.5627489711934157
39,13476.539663789312,3,0.5671934156378601
40,11032.784814662082,3,0.5644444444444445
41,6993.246091450291,3,0.5626172839506173
42,8324.05043213633,5,0.5629794238683127
43,7805.326794811968,2,0.563604938271605
44,139909.86186726944,2,0.6785679012345679
45,125426.77250334532,2,0.6733497942386831
46,303.5733560497994,2,0.599917695473251
47,415.62281012028495,2,0.5977777777777777
48,594.3238748416079,2,0.5955555555555556
49,6252.356126678693,2,0.5639506172839506
50,89.58483250151136,0,0.6026995884773663
51,4734.915127268877,0,0.5656625514403293
52,4956.691110330766,1,0.5649876543209876
53,1558.61782648371,1,0.5831275720164609
54,1318.8979058208918,5,0.5863374485596708
55,18.111514749713063,5,0.604164609053498
56,83317.80386934357,5,0.6376460905349794
57,16.448178342165548,6,0.6042962962962963
58,60939.27400565439,2,0.6244115226337448
59,9109.349927640738,2,0.5633909465020577
60,8656.304993475585,2,0.5635720164609053
61,28431.75745998309,2,0.5904691358024692
